Well Name,Easting,Northing,MD,TVD,Azimuth,Inclination,Deviation-DownDip,Deviation-UpDip,Deviation-NoDip,Porosity%,Gross Thickness(ft),NTG,Sw(%),TOC %,Comp-Perforated Lateral (ft),Comp-Stimulated Lateral Length (ft),Comp-Clusters per Stage,Comp-Shot Density (shots-ft),Comp-Avg Stage Length(ft),Comp-Number of Stages,Stim-Avg. Tr. Pressure (psi),Stim-Avg. Tr. Rate (bbl-min),Stim-Fluid volume per Stage (bbl),Stim-clean volume per Stage (bbl),Stim-Slurry volume per Stage (bbl),Stim-Maximum propant Conc-(lb-gal),Stim-Proppant per stage(lb),30 Day Cum Gas (MCF),30 Day Cum Condensate (bbls),90 Day Cum Gas (MCF),90 Day Cum Condensate (bbls),120 Day Cum Gas (MCF),120 Day Cum Condensate (bbls),180 Day -Cum Gas (MCF),180 Day -Cum Condensate (bbls)
ISI-041,1659370.297,15919451.27,10031,6623.9,133.94,87.97,1,0,0,9.4,145,0.92,11.8,2.8,2776,2876,3,4,347,8,6339,64.6,23589,13389,10200,2,295517,99836,457,256933,1679.31,322952,2058,439533,2825.89
ISI-042,1682244.117,15931439.24,10220,6516.9,137.2,89.6,1,0,0,9.4,162,0.94,9.6,3.5,3197,3297,3,4,290.6,11,6055,65.9,21811,12863,8948,3,504126,152752,0,472327,179.2,626838,287.56,897248,328.82
ISI-043,1682151.689,15936792.6,9050,6636.1,49.6,86.9,1,0,0,9.9,162,0.89,11.1,3.5,2356,2456,1,4,294.5,8,5108,65.5,14526,8160,6365,3,286321,60976,33,111034,430.71,128850,524.48,158613,580.83
ISI-044,1634685.517,15907093.88,11005,6211.4,105.1,89.1,1,0,0,8.9,130,0.9,10,2.8,3508,3608,3,4,292.3,12,6570,69,24320,13682,10638,3,488889,115477,886,226791,3164.09,280566,4292.58,371292,5849.06
ISI-045,1626202.085,15910384.56,10030,6404.1,308.1,90.7,1,0,0,9,126,0.9,10.7,2.6,2009,2109,2.7,4,287,7,7272,50.6,23892,13549,10344,3,317434,32954,1697,75695,4723.75,90082,5182.34,117888,6320.86
ISI-046,1634009.915,15906101.75,10733,6470.9,116.9,89.2,1,0,0,8.7,131,0.92,9.7,2.8,3808,3908,3,4,292.9,13,6564,69.8,24291,13659,10632,3,504484,74715,994,189441,4303.8,239127,5557.82,329753,8472.34
ISI-047,1634232.243,15908132.05,10443,6450.4,108.2,90.3,1,0,0,8.7,128,0.89,10,2.9,2916,3016,3,4,291.6,10,6364,69.2,24626,13854,10772,3,502200,84725,994,173031,3745.61,214546,5134.28,288485,7501.9
ISI-048,1627410.885,15911815.52,10443,6403,302.2,88.4,1,0,0,9.1,124,0.88,10.6,2.5,2903,3003,3,4,290.3,10,6617,66.8,24333,13683,10650,3,505491,65556,1332,183407,3997.16,228905,5879.36,304933,8406.76
ISI-049,1678159.45,15929516.37,9264,6376.6,314.2,90.1,1,0,0,8.7,163,0.87,12.1,1.4,2318,2418,1,5,257.6,9,4922,59.7,22624,13008,9617,4,470932,83788,10,172200,9.92,206565,65.6,266278,749.39
ISI-050,1646957.268,15923046.54,9540,3834.3,129.2,88.3,1,0,0,9.8,129,0.91,10.2,2.8,2472,2572,1,4,309,8,6985,70.1,22351,12545,9806,4,507890,50097,810,134629,3534.53,171448,4670.17,238413,6644.49
ISI-051,1662833.864,15925849.82,9470,4660.3,126.9,91.4,1,0,0,8.6,135,0.94,10.8,2.6,2622,2722,3.9,5,374.6,7,6065,68,24218,13736,10482,2,319286,67351,356,188411,2418.53,242886,3346.64,345824,5464.57
ISI-052,1660529.126,15909307.64,9631,6626.3,154.5,89.3,1,0,0,11,172,0.93,12.1,2.9,2729,2829,3,4,272.9,10,6845,66.7,18881,11179,7702,3,503998,105506,1859,297770,3529.23,379347,4183.87,345824,5464.57
ISI-053,1659531.367,15908778.95,9986,6580.1,158.6,90.3,1,0,0,10.9,172,0.94,12.3,2.7,2421,2521,3,4,269,9,7027,64.1,21318,12580,8739,3,505168,100104,1774,209582,2658.08,253311,3010.1,345824,5464.57
ISI-054,1662597.275,15909894.67,11135,6612,156,89.5,1,0,0,10.4,175,0.94,12.3,2.9,3398,3498,3,4,283.2,12,6762,65.5,21581,12728,8853,3,505350,141073,1775,358780,3183.97,456637,3783.29,345824,5464.57
ISI-055,1658410.662,15908638.98,10409,6603,154.1,90.1,1,0,0,10.8,171,0.93,12.7,2.7,2211,2311,3,4,276.4,8,6482,66.5,17703,10493,7210,3,495664,121270,1730,275035,2579.5,335844,3014.26,345824,5464.57
ISI-056,1648039.456,15919983.16,9815,6529.4,139.3,90.3,1,0,0,10.1,129,0.91,10.2,3.1,2311,2411,3,4,288.9,8,6511,68,24037,13529,10507,3,496117,56204,1687,122992,3864.81,153590,4730.71,208547,6340.38
ISI-057,1647859.35,15918782.04,10240,6544.7,136.7,90.2,1,0,0,10.2,128,0.89,10.4,3.1,3212,3312,3,4,292,11,6827,67.2,24940,14054,10886,3,501475,56925,1646,135128,3831.47,172709,4688.62,240947,6314.75
ISI-058,1645505.776,15917714.3,11477,6533.9,139.9,90.8,1,0,0,10.1,122,0.91,10.2,3.5,2903,3003,3,4,290.3,10,7045,66.7,24567,13778,10789,3,503501,56014,1806,130369,3932.34,166669,4788.83,234752,6373.74
ISI-059,1679092.833,15931241.33,9740,6324.4,121.95,90.59,1,0,0,9.5,156,0.91,11.7,3.7,2033,2133,4,4,338.8,6,6944,97.3,31181,17756,13425,2,96845,38808,72,130550,71.77,176875,168.63,267768,177.38
ISI-060,1679510.502,15932709.71,9266,6423.5,134.44,90.06,1,0,0,9.4,158,0.88,10.4,3.9,2343,2443,4.8,6,390.5,6,6991,98.3,31714,18195,13519,2,99955,57108,147,152126,469.72,196412,469.72,283732,838.32
ISI-061,1689629.288,15932031.4,10330,6500.5,144.4,90.6,1,0,0,10.6,165,0.88,11.9,3.5,2903,3003,3,4,290.3,10,6113,70.4,25270,14284,10986,3,504978,141030,111,490901,263.33,606111,298.21,799926,428.87
